id,Depth,age,N,C,S,OM,MM,MM_no_CaCO3,CaCO3,TOC,TOC_N,microcharcoal,P,Na,K,Ca,Mg,Fe,Mn,Cu,Zn ,Pb,FeMn,NaK,CuZn,CaFe,FeS,erosion,CaMg,TOCS,FeP
45,"0,44",,"1,71455466747284","29,8314533233643","0,942574441432953","62,5557447498581","37,4442552501419","33,1062552501419","4,338","29,4264097501163","20,0231652139371",12553,"0,752992108403862","0,312580295212463","7,2444511597612","19,6813950164133","6,34979647344001","15,3266812314718","0,0501718173050317","24,2147261129048","131,117120699755","26,3802369970809","305,483876302299","0,0431475467663677","0,184680124027083","1,28412633623511","1,62604464514987","0,706597673427928","3,09953163046042","31,2191891235462","20,3543716599636"
47,"0,46",,"1,58755111694336","34,1644325256348","1,15242147445679","66,6206434249878","33,3793565750122","28,7061565750122","4,6732","34,1644325256348","25,1069110076804",12665,"0,72632","0,300029","7,100291","18,772981","6,122754","15,092812","0,056387277","23,03982","128,2873","23,0281","267,663430528841","0,0422558737381327","0,179595486069159","1,24383587365959","1,30966077381665","0,720347716753136","3,06610081019097","29,6457791553552","20,7798380878951"
49,"0,48",,"1,63288545608521","34,062068939209","1,2186861038208","71,6455371","28,3544629","18,9944629","9,36","33,737400204937","24,1047527812871",11567,"0,812608678976752","0,284176493295179","7,1478852408943","18,5421791118164","6,03634364379504","15,9783577286247","0,0613162370663955","22,5899851083679","103,369879501118","20,2797353224161","260,589339677233","0,0397567229632277","0,218535469107551","1,16045587579997","1,31111347528536","0,726365833096796","3,07175671333366","27,6834207751809","19,6630409470212"
51,"0,5",,"1,94745457172394","40,7036628723145","1,54004454612732","86,2917652893066","13,7082347106934","6,44107471069336","7,26716","40,7036628723145","24,3844490001785",11454,"0,8012","0,21912","6,44523","16,5772","4,2928811","11,871281","0,045393821","18,287122","112,9281","18,72877","261,517553237036","0,0339972351646101","0,161935975191294","1,39641206370231","0,770840105232811","0,660982017469778","3,86155582086818","26,4301853960459","14,8168759360959"
53,"0,52",,"1,69619369506836","38,7269401550293","1,50858163833618","75,5107285108569","24,4892714891431","17,8292714891431","6,66","38,4231092224213","26,4279727544235",19334,"0,629418451830597","0,189260378870435","4,07543098297233","15,9657729548444","3,8632308933369","10,695306246624","0,0287169148902423","14,7467104105282","68,9606289312369","19,8820029663125","372,439250090133","0,0464393532024439","0,213842458212391","1,49278315054176","0,708964365920556","0,509084168875987","4,13275141860698","25,4696916931842","16,9923621011076"
55,"0,54",,"1,73590481281281","37,5105628967285","1,29201149940491","72,7704920196533","27,2295079803467","23,0084879803467","4,22102","37,5105628967285","25,2100939271005",15445,"0,6421","0,183221","4,22316","15,78271","4,00281","10,22761","0,02526123","15,023178","67,2712","17,28819","404,873792764644","0,0433848113734739","0,22332258083697","1,54314742153836","0,791603635471571","0,532810334853774","3,9429076074058","29,032685014031","15,9283756424233"
57,"0,56",,"1,83166921138763","39,9125709533691","1,44685733318329","76,3854715875806","23,6145284124194","17,4945284124194","6,12","39,5743071652731","25,2065300541764",13123,"0,531469145474691","0,185799235998867","4,59453369188527","16,6890921875355","4,14055623783945","9,40852127431809","0,0240318132518356","16,7261673132678","52,0057037366413","16,3626237031704","391,502762430939","0,0404391932802713","0,321621785909671","1,7738273317286","0,650272909328111","0,534534117582879","4,03064014322961","27,3519069625228","17,7028551034975"
59,"0,58",,"1,9153915643692","38,2262954711914","1,35857117176056","74,5412761688232","25,4587238311768","20,0155138311768","5,44321","38,2262954711914","23,2836697968216",14009,"0,50323","0,21234","5,7664","16,88298","4,77287","10,928122","0,027728792","19,220761","68,82122","17,99281","394,107395662963","0,0368236681465039","0,279285386106204","1,54491137635543","0,804383474870761","0,636831294001414","3,53728050418302","28,1371313227958","21,7159589054707"
61,"0,6",,"1,77219521999359","35,4479560852051","1,24644124507904","69,2987966945344","30,7012033054656","25,8412033054656","4,86","35,0728189319251","23,0890413721241",16445,"0,581510398796179","0,247702261414411","6,28412401565608","16,632345760629","5,5036334318043","11,167113045262","0,0315313394921839","22,631587790408","66,8467164354922","17,713030884102","354,159170688899","0,0394171503931642","0,338559453585843","1,48940426171165","0,895919730621065","0,723617695428406","3,02206641607239","28,1383651819874","19,203634308827"
63,"0,62",,"1,67764961719513","35,490966796875","1,26533615589142","69,2073852539063","30,7926147460937","28,0108447460937","2,78177","35,490966796875","24,6810344098636",17829,"0,871","0,328812","9,2231","19,8271","7,22981","17,82871","0,047298122","34,098731","110,782","20,2981","376,943295972724","0,0356509199726773","0,307800283439548","1,11208831149309","1,40900976526983","0,846403256149412","2,74240955156498","28,0486467027981","20,469242250287"
65,"0,64",,"1,72563445568085","32,655834197998","1,20312190055847","63,72377801","36,27622199","35,55622199","0,72","32,359315879726","21,8774811019397",17023,"1,25540688017376","0,454038396216565","11,4397356532288","24,6671625352564","9,9519074708187","20,1871047282264","0,0580159818404823","39,0049148618445","118,303846811007","27,5242470221098","347,957650423496","0,0396895881146009","0,329701154385586","1,2219267134809","1,67789354668516","0,885617933924922","2,47863664403897","26,8961240458721","16,0801291175275"
67,"0,66",,"1,67030274868011","28,987850189209","1,08023774623871","57,1060648727417","42,8939351272583","42,4376351272583","0,4563","28,987850189209","20,2473225771803",23223,"1,0029","0,423921","8,7212","20,20811","9,22981","18,82761","0,054928212","38,02983","98,27121","23,9281","342,767574520722","0,0486081043893042","0,386988518814412","1,07332316741211","1,74291354524095","0,90928498508767","2,18943943591472","26,8346947606137","18,7731678133413"
69,"0,68",,"1,70596420764923","30,086332321167","1,15293836593628","59,8286426983352","40,1713573016648","39,6313573016648","0,54","29,789470832463","20,3722812483645",21564,"0,847891969038052","0,321640887702821","8,09373190988143","13,825009069322","6,98335796998241","14,5449881639227","0,0400768470503389","25,9858186264634","86,6568994895313","17,2053662294717","362,927456485121","0,0397395035175477","0,299870163593872","0,950499850086746","1,2615581711613","1,11383151290199","1,97970791827486","25,8378693194684","17,1542940552017"
71,"0,7",,"1,67448699474335","28,1038036346436","1,1064418554306","55,0834551239014","44,9165448760986","44,1893648760986","0,72718","28,1038036346436","19,5807856436112",21784,"0,9981","0,30092","7,67865","15,48721","6,22983","13,0982734","0,041928092","23,289761","89,28712","18,72718","312,398508379537","0,0391891803897821","0,260841216515887","1,18238561122109","1,18381940593728","0,917492563218294","2,48597634285366","25,4001631416105","13,1232074942391"
73,"0,72",,"1,56319880485535","35,3855438232422","1,22301030158997","68,0569745777991","31,9430254222009","31,5830254222009","0,36","35,0805002666342","26,1817308098956",18668,"0,627571094407144","0,254496659003026","6,25650124520243","16,1102344827046","5,36472955032232","12,2999864652345","0,042517561203448","22,1116799067041","91,9998768973559","19,5565209930293","289,291909438988","0,0406771530970568","0,240344668410525","1,30977660245722","1,00571405238729","0,737154227474288","3,00299098614146","28,6837324436499","19,5993514915694"
75,"0,74",,"1,86033260822296","35,9863586425781","1,40659761428833","69,4536721801758","30,5463278198242","29,7846278198242","0,7617","35,9863586425781","22,5680530983715",16664,"0,7712","0,276251","5,88291","16,82291","5,00983","13,485732","0,04309384445","19,828829","87,22837","23,0281","312,93870788546","0,0469582230562766","0,22732087049202","1,24745990799758","0,958748391367287","0,663915517588812","3,35798021090536","25,5839753153466","17,4866856846473"
77,"0,76",,"1,84401822090149","33,176513671875","1,39716017246246","63,5735080058224","36,4264919941776","35,1304919941776","1,296","32,8958471031966","20,8124235715526",17005,"0,847650215215082","0,236947785785089","5,66607538332396","13,6153152376296","4,88011635344389","14,2105898824354","0,044503531849153","17,9498642626874","81,1654711513561","25,7715036479403","319,313755380201","0,0418186786717414","0,221151482373765","0,958110490153432","1,01710527987565","0,791986034429142","2,78995709354784","23,5447930391677","16,7646862200461"
79,"0,78",,"2,01934623718262","31,2693634033203","1,55954718589783","60,037177734375","39,962822265625","38,952532265625","1,01029","31,2693634033203","18,0657102278005",20066,"0,8221","0,257281","5,872982","14,72871","5,09921","14,278271","0,04728812","19,098283","109,827366","31,281","301,942031106333","0,0438075580684565","0,173893663260576","1,03154716702043","0,915539531545501","0,762420673636727","2,88842977637712","20,0502836246783","17,3680464663666"
81,"0,8",,"1,79850459098816","31,7941226959228","1,14870822429657","61,7417326029622","38,2582673970378","37,8982673970378","0,36","31,4662089539069","20,4117227705943",16554,"0,765509551875952","0,279325795960762","6,05939189048591","15,7399038353161","5,29748787483113","14,3712500303454","0,0572669297182381","20,1832582500567","114,22837844399","35,388467087341","250,951990984222","0,0460979915161688","0,176692154130099","1,09523554332997","1,25107923199086","0,739280600632976","2,97120148402754","27,3926905791727","18,7734431205036"
83,"0,82",,"1,65657293796539","31,4582614898682","0,869909882545471","60,7144446754456","39,2855553245544","39,0644753245544","0,22108","31,4582614898682","22,1549587285843",12112,"1,0922","0,298291","6,4503","14,287112","5,44382","13,082912","0,05293829","20,00293","101,02832","17,8291","247,135145468431","0,0462445157589569","0,197993295345305","1,09204372849103","1,50393877141822","0,853385274784715","2,62446443857438","36,1626671004324","11,9784947811756"
85,"0,84",,"1,48786818981171","22,3884315490723","0,659983992576599","43,6292628495712","56,3707371504288","55,8307371504288","0,54","22,2201033089443","17,4232193671105",17556,"1,42420566568453","0,305646120092805","6,79832098455229","12,6078977268545","5,77284500525917","12,6746110824825","0,0469293949935256","19,1410922099566","81,4552109718405","18,6179737860428","270,078297072254","0,0449590598601212","0,234989167440421","0,994736457379725","1,92044219633274","1,02132904223017","2,18400073367091","33,6676397592558","8,89942470239412"
87,"0,86",,"1,55191075801849","23,1380786895752","0,661028802394867","45,8133958053589","54,1866041946411","53,9631041946411","0,2235","23,1380786895752","17,3943153614739",17556,"1,2278","0,32912","6,920192","13,22918","6,3498221","12,998201","0,047882912","19,82783","87,29831","20,18722","271,458030789773","0,0475593740751702","0,227127306359081","1,01777007448954","1,9663592498403","1,02796500614551","2,08339380090664","35,0031323986903","10,5865784329695"
89,"0,88",,"1,61623799800873","23,5823421478271","0,662566363811493","46,451456897594","53,548543102406","52,828543102406","0,72","23,3758301603711","16,8736299278734",17445,"1,0503706886954","0,31871921384901","7,5934858653334","13,3949233555857","6,29100715916765","13,474239976801","0,0518517080141043","20,4870510134956","77,0779896601899","22,4934840828208","259,861063267884","0,0419727144425278","0,265796384983779","0,994113462328722","2,03364382992351","1,06034292704089","2,12921763029085","35,2807378054915","12,8280807164721"
91,"0,9",,"1,68858313560486","23,9525890350342","0,741889476776123","46,4680227279663","53,5319772720337","53,3088772720337","0,2231","23,9525890350342","16,5491924077105",20446,"1,0092","0,322937","7,88291","15,38731","6,772811","14,772817","0,052397233","20,387293","84,2873","22,01921","281,938876428837","0,0409667242173258","0,241878586690996","1,04159619658187","1,99124228910689","0,973442271586132","2,27192372561408","32,2859263877418","14,6381460562822"
93,"0,92",,"1,81844902038574","27,413854598999","0,779515862464905","53,5096391497776","46,4903608502225","45,1943608502225","1,296","27,124003844759","17,402011712985",24556,"1,04161684658612","0,330472272266344","8,13487793813258","14,8417879206956","6,866794635496","15,6116429417753","0,0575102597509066","21,5773880879497","82,8544685380529","21,6709091535849","271,458397325865","0,0406241218097744","0,260425158336991","0,950687123453253","2,00273576119539","1,03303893896203","2,1613851452576","34,7959613791441","14,9878940542698"
95,"0,94",,"1,95448923110962","30,252140045166","0,799046277999878","58,9916730880737","41,0083269119263","40,7761169119263","0,23221","30,252140045166","18,0579983886581",22432,"1,0229","0,30652","8,02291","15,28712","6,458372","14,287182","0,05729832","22,02198","97,28712","24,3821","249,347310706492","0,0382055887452308","0,226360693995259","1,06998846938466","1,78802935366432","0,967337340192266","2,36702376388353","37,8603103200621","13,9673301397986"
